Ensayo,Piso,Tabique,Punto,Posición,Designacion,1,2,3,4,5,6,7,8,9,Media,Lecturas Válidas,Media lect válidas,Coef. Corr. Ángulo,Coef. Corr. Calibracion,Índice escler.
1,PB,5,1,Abajo,PB-5-1,46,42,42,41,43,42,42,42,42,42.44444444,9,42.44444444,0,0,42.44444444
2,PB,5,2,Abajo,PB-5-2,45,38,42,44,36,36,45,46,36,40.88888889,8,40.25,0,0,40.25
3,PB,5,3,Abajo,PB-5-3,40,43,43,38,42,42,42,42,39,41.22222222,9,41.22222222,0,0,41.22222222
4,PB,5,4,Abajo,PB-5-4,46,46,47,44,40,46,50,45,45,45.44444444,8,46.125,0,0,46.125
5,PB,5,5,Abajo,PB-5-5,40,46,40,42,44,45,49,43,46,43.88888889,8,43.25,0,0,43.25
6,PB,5,6,Abajo,PB-5-6,46,48,41,42,46,42,48,45,38,44,8,44.75,0,0,44.75
7,PB,5,7,Arriba,PB-5-7,46,46,42,44,44,44,44,44,44,44.22222222,9,44.22222222,0,0,44.22222222
8,PB,5,8,Arriba,PB-5-8,41,42,43,41,42,43,43,42,44,42.33333333,9,42.33333333,0,0,42.33333333
9,PB,5,9,Arriba,PB-5-9,40,42,43,48,44,40,44,43,42,42.88888889,8,42.25,0,0,42.25
10,PB,5,10,Arriba,PB-5-10,49,44,44,46,46,43,45,46,45,45.33333333,9,45.33333333,0,0,45.33333333
11,PB,5,11,Arriba,PB-5-11,44,44,47,45,45,46,46,45,49,45.66666667,9,45.66666667,0,0,45.66666667
12,PB,5,12,Arriba,PB-5-12,44,44,47,46,44,45,44,47,46,45.22222222,9,45.22222222,0,0,45.22222222
13,PB,4,1,Abajo,PB-4-1,44,46,51,48,47,43,42,46,51,46.44444444,9,46.44444444,0,0,46.44444444
14,PB,4,2,Abajo,PB-4-2,42,39,40,40,40,43,47,51,44,42.88888889,8,41.875,0,0,41.875
15,PB,4,3,Abajo,PB-4-3,44,46,42,46,42,44,43,42,41,43.33333333,9,43.33333333,0,0,43.33333333
16,PB,4,4,Abajo,PB-4-4,52,50,45,46,46,39,48,50,43,46.55555556,7,46.85714286,0,0,46.85714286
17,PB,4,5,Abajo,PB-4-5,49,50,46,48,42,46,48,51,42,46.88888889,9,46.88888889,0,0,46.88888889
18,PB,4,6,Abajo,PB-4-6,38,47,42,40,48,40,38,44,42,42.11111111,8,41.375,0,0,41.375
19,PB,4,7,Arriba,PB-4-7,39,43,39,41,43,44,42,48,43,42.44444444,8,41.75,0,0,41.75
20,PB,4,8,Arriba,PB-4-8,46,49,42,43,42,45,46,42,48,44.77777778,9,44.77777778,0,0,44.77777778
21,PB,4,9,Arriba,PB-4-9,40,40,50,43,45,44,42,43,46,43.66666667,8,42.875,0,0,42.875
22,PB,4,10,Arriba,PB-4-10,46,47,48,52,42,40,46,44,44,45.44444444,7,45.28571429,0,0,45.28571429
23,PB,4,11,Arriba,PB-4-11,46,48,49,44,46,48,43,50,50,47.11111111,9,47.11111111,0,0,47.11111111
24,PB,4,12,Arriba,PB-4-12,46,46,46,42,48,42,45,45,41,44.55555556,9,44.55555556,0,0,44.55555556
25,PB,7,1,Abajo,PB-7-1,44,43,42,46,44,42,44,44,42,43.44444444,9,43.44444444,0,0,43.44444444
26,PB,7,2,Abajo,PB-7-2,42,48,38,45,45,44,45,46,40,43.66666667,8,44.375,0,0,44.375
27,PB,7,3,Abajo,PB-7-3,44,45,42,40,41,36,26,40,40,39.33333333,7,40.42857143,0,0,40.42857143
28,PB,7,4,Abajo,PB-7-4,38,40,40,40,45,40,42,40,42,40.77777778,9,40.77777778,0,0,40.77777778
29,PB,7,5,Abajo,PB-7-5,40,42,44,40,40,43,40,40,40,41,9,41,0,0,41
30,PB,7,6,Abajo,PB-7-6,42,40,42,40,40,42,40,40,40,40.66666667,9,40.66666667,0,0,40.66666667
31,PB,7,7,Arriba,PB-7-7,46,46,48,50,45,46,46,47,45,46.55555556,9,46.55555556,0,0,46.55555556
32,PB,7,8,Arriba,PB-7-8,42,46,42,42,44,42,42,46,45,43.44444444,9,43.44444444,0,0,43.44444444
33,PB,7,9,Arriba,PB-7-9,41,44,38,43,44,42,40,44,42,42,9,42,0,0,42
34,PB,7,10,Arriba,PB-7-10,40,40,40,42,40,38,41,39,42,40.22222222,9,40.22222222,0,0,40.22222222
35,PB,7,11,Arriba,PB-7-11,40,42,42,44,39,39,45,40,42,41.44444444,9,41.44444444,0,0,41.44444444
36,PB,7,12,Arriba,PB-7-12,42,38,44,44,40,42,38,44,42,41.55555556,9,41.55555556,0,0,41.55555556
37,PB,8,1,Abajo,PB-8-1,38,39,48,44,46,42,47,44,50,44.22222222,6,45.16666667,0,0,45.16666667
38,PB,8,2,Abajo,PB-8-2,52,54,50,51,48,52,51,50,52,51.11111111,9,51.11111111,0,0,51.11111111
39,PB,8,3,Abajo,PB-8-3,49,47,42,38,44,44,44,51,49,45.33333333,7,45.57142857,0,0,45.57142857
40,PB,8,4,Abajo,PB-8-4,42,47,41,44,47,40,42,44,42,43.22222222,9,43.22222222,0,0,43.22222222
41,PB,8,5,Abajo,PB-8-5,42,36,35,40,40,42,37,38,38,38.66666667,9,38.66666667,0,0,38.66666667
42,PB,8,6,Abajo,PB-8-6,40,42,42,47,44,42,48,50,46,44.55555556,8,43.875,0,0,43.875
43,PB,8,7,Arriba,PB-8-7,50,44,46,44,46,45,48,42,50,46.11111111,9,46.11111111,0,0,46.11111111
44,PB,8,8,Arriba,PB-8-8,49,45,42,49,47,46,50,50,46,47.11111111,8,47.75,0,0,47.75
45,PB,8,9,Arriba,PB-8-9,47,48,47,45,47,47,42,47,46,46.22222222,9,46.22222222,0,0,46.22222222
46,PB,8,10,Arriba,PB-8-10,42,42,42,43,41,42,42,43,45,42.44444444,9,42.44444444,0,0,42.44444444
47,PB,8,11,Arriba,PB-8-11,43,42,42,40,42,44,37,42,42,41.55555556,9,41.55555556,0,0,41.55555556
48,PB,8,12,Arriba,PB-8-12,40,50,46,44,44,46,42,45,46,44.77777778,8,44.125,0,0,44.125
49,PB,1,1,Abajo,PB-1-1,44,45,46,48,48,44,46,47,45,45.88888889,9,45.88888889,0,0,45.88888889
50,PB,1,2,Abajo,PB-1-2,50,46,46,46,46,48,46,43,48,46.55555556,9,46.55555556,0,0,46.55555556
51,PB,1,3,Abajo,PB-1-3,53,52,51,53,52,52,54,50,52,52.11111111,9,52.11111111,0,0,52.11111111
52,PB,1,4,Abajo,PB-1-4,49,50,49,44,49,52,48,47,52,48.88888889,9,48.88888889,0,0,48.88888889
53,PB,1,5,Arriba,PB-1-5,49,50,46,48,52,43,48,48,48,48,8,48.625,0,0,48.625
54,PB,1,6,Arriba,PB-1-6,49,53,51,44,49,52,49,52,48,49.66666667,8,50.375,0,0,50.375
55,PB,1,7,Arriba,PB-1-7,46,52,50,52,46,48,40,52,53,48.77777778,8,49.875,0,0,49.875
56,PB,1,8,Arriba,PB-1-8,51,50,51,50,50,49,51,51,52,50.55555556,9,50.55555556,0,0,50.55555556
57,PB,2,1,Abajo,PB-2-1,38,40,40,35,38,38,36,36,40,37.88888889,9,37.88888889,0,0,37.88888889
