Ensayo,Piso,Tabique,Punto,Posición,Designacion,Tiempo,Espesor,Velocidad
1,PB,5,1,Abajo,PB-5-1,133.6,0.5,3742.51497
2,PB,5,3,Abajo,PB-5-3,92.9,0.35,3767.491927
3,PB,5,4,Abajo,PB-5-4,90.8,0.359,3953.744493
4,PB,5,5,Abajo,PB-5-5,94.8,0.355,3744.725738
5,PB,5,6,Abajo,PB-5-6,98,0.355,3622.44898
6,PB,5,7,Arriba,PB-5-7,134.5,0.5,3717.472119
7,PB,5,9,Arriba,PB-5-9,93.2,0.35,3755.364807
8,PB,5,10,Arriba,PB-5-10,94.1,0.359,3815.090329
9,PB,5,11,Arriba,PB-5-11,94.6,0.355,3752.642706
10,PB,5,12,Arriba,PB-5-12,88.3,0.355,4020.385051
11,PB,4,1,Abajo,PB-4-1,118.3,0.5,4226.542688
12,PB,4,3,Abajo,PB-4-3,86.1,0.35,4065.04065
13,PB,4,4,Abajo,PB-4-4,89.8,0.357,3975.501114
14,PB,4,6,Abajo,PB-4-6,87.1,0.355,4075.774971
15,PB,4,7,Arriba,PB-4-7,118.8,0.5,4208.754209
16,PB,4,9,Arriba,PB-4-9,85.8,0.35,4079.254079
17,PB,4,10,Arriba,PB-4-10,89,0.357,4011.235955
18,PB,4,12,Arriba,PB-4-12,88.8,0.355,3997.747748
19,PB,7,1,Abajo,PB-7-1,126.3,0.5,3958.828187
20,PB,7,2,Abajo,PB-7-2,134.7,0.5,3711.952487
21,PB,7,3,Abajo,PB-7-3,94,0.35,3723.404255
22,PB,7,4,Abajo,PB-7-4,93.7,0.35,3735.325507
23,PB,7,5,Abajo,PB-7-5,99.1,0.353,3562.058527
24,PB,7,6,Abajo,PB-7-6,101,0.353,3495.049505
25,PB,7,7,Arriba,PB-7-7,129.5,0.5,3861.003861
26,PB,7,8,Arriba,PB-7-8,131.7,0.5,3796.507213
27,PB,7,9,Arriba,PB-7-9,90.1,0.35,3884.572697
28,PB,7,10,Arriba,PB-7-10,97,0.35,3608.247423
29,PB,7,11,Arriba,PB-7-11,101.6,0.353,3474.409449
30,PB,7,12,Arriba,PB-7-12,100.8,0.353,3501.984127
31,PB,8,1,Abajo,PB-8-1,127.3,0.5,3927.729772
32,PB,8,2,Abajo,PB-8-2,128.5,0.5,3891.050584
33,PB,8,3,Abajo,PB-8-3,93,0.35,3763.44086
34,PB,8,4,Abajo,PB-8-4,93.6,0.355,3792.735043
35,PB,8,5,Abajo,PB-8-5,95.9,0.355,3701.77268
36,PB,8,6,Abajo,PB-8-6,95,0.355,3736.842105
37,PB,8,7,Arriba,PB-8-7,128.2,0.5,3900.156006
38,PB,8,8,Arriba,PB-8-8,131.9,0.5,3790.750569
39,PB,8,9,Arriba,PB-8-9,91.1,0.35,3841.931943
40,PB,8,10,Arriba,PB-8-10,94.6,0.355,3752.642706
41,PB,8,11,Arriba,PB-8-11,94.2,0.355,3768.577495
42,PB,8,12,Arriba,PB-8-12,92.5,0.355,3837.837838
43,PB,1,1,Abajo,PB-1-1,64.5,0.25,3875.968992
44,PB,1,4,Abajo,PB-1-4,64.1,0.25,3900.156006
45,PB,1,5,Arriba,PB-1-5,64.1,0.25,3900.156006
46,PB,1,8,Arriba,PB-1-8,66.4,0.25,3765.060241
47,PB,2,1,Abajo,PB-2-1,72.4,0.25,3453.038674
48,PB,2,3,Abajo,PB-2-3,77.4,0.233,3010.335917
49,PB,2,4,Abajo,PB-2-4,71.3,0.25,3506.31136
50,PB,2,5,Arriba,PB-2-5,73,0.28,3835.616438
51,PB,2,7,Arriba,PB-2-7,109,0.235,2155.963303
52,PB,2,8,Arriba,PB-2-8,70.1,0.25,3566.333809
53,PP,4,1,Abajo,PP-4-1,94.2,0.35,3715.498938
54,PP,4,2,Abajo,PP-4-2,89.2,0.355,3979.820628
55,PP,4,3,Abajo,PP-4-3,93.1,0.355,3813.104189
56,PP,4,4,Abajo,PP-4-4,91.2,0.353,3870.614035
57,PP,4,5,Abajo,PP-4-5,90.2,0.353,3913.525499
58,PP,4,6,Arriba,PP-4-6,93.8,0.35,3731.343284
59,PP,4,7,Arriba,PP-4-7,90.1,0.355,3940.066593
60,PP,4,8,Arriba,PP-4-8,91.1,0.355,3896.816685
61,PP,4,9,Arriba,PP-4-9,92.1,0.353,3832.790445
62,PP,4,10,Arriba,PP-4-10,88.2,0.353,4002.267574
63,PP,5,1,Abajo,PP-5-1,97,0.35,3608.247423
64,PP,5,2,Abajo,PP-5-2,93.1,0.355,3813.104189
65,PP,5,3,Abajo,PP-5-3,94.1,0.355,3772.582359
66,PP,5,4,Abajo,PP-5-4,92,0.35,3804.347826
67,PP,5,5,Abajo,PP-5-5,91.1,0.35,3841.931943
68,PP,5,6,Arriba,PP-5-6,98,0.35,3571.428571
69,PP,5,7,Arriba,PP-5-7,93.1,0.355,3813.104189
70,PP,5,8,Arriba,PP-5-8,92.7,0.355,3829.557713
71,PP,5,9,Arriba,PP-5-9,92.9,0.35,3767.491927
72,PP,5,10,Arriba,PP-5-10,89.2,0.35,3923.766816
73,PP,7,1,Abajo,PP-7-1,90.1,0.35,3884.572697
74,PP,7,2,Abajo,PP-7-2,84,0.305,3630.952381
75,PP,7,3,Abajo,PP-7-3,81,0.305,3765.432099
76,PP,7,4,Abajo,PP-7-4,86,0.305,3546.511628
77,PP,7,5,Abajo,PP-7-5,81.2,0.305,3756.157635
78,PP,7,6,Arriba,PP-7-6,91.1,0.35,3841.931943
79,PP,7,7,Arriba,PP-7-7,84.1,0.305,3626.634958
80,PP,7,8,Arriba,PP-7-8,83.3,0.305,3661.464586
81,PP,7,9,Arriba,PP-7-9,82.2,0.305,3710.462287
82,PP,7,10,Arriba,PP-7-10,81.9,0.305,3724.053724
83,PP,8,1,Abajo,PP-8-1,96,0.353,3677.083333
84,PP,8,2,Abajo,PP-8-2,76.8,0.303,3945.3125
85,PP,8,3,Abajo,PP-8-3,81.3,0.303,3726.937269
86,PP,8,4,Abajo,PP-8-4,78.3,0.303,3869.731801
87,PP,8,5,Abajo,PP-8-5,77.1,0.303,3929.961089
88,PP,8,6,Arriba,PP-8-6,96.4,0.353,3661.825726
89,PP,8,7,Arriba,PP-8-7,78.3,0.303,3869.731801
90,PP,8,8,Arriba,PP-8-8,79.3,0.303,3820.933165
91,PP,8,9,Arriba,PP-8-9,78.4,0.303,3864.795918
92,PP,8,10,Arriba,PP-8-10,80.2,0.303,3778.054863
93,PP,1,1,Arriba,PP-1-1,66.7,0.251,3763.118441
94,PP,1,2,Arriba,PP-1-2,69,0.258,3739.130435
95,PP,1,3,Abajo,PP-1-3,66,0.251,3803.030303
96,PP,1,4,Abajo,PP-1-4,69.9,0.258,3690.987124
97,PP,2,1,Abajo,PP-2-1,60.2,0.255,4235.880399
98,PP,2,3,Abajo,PP-2-3,66.4,0.255,3840.361446
99,PP,2,5,Arriba,PP-2-5,59.2,0.255,4307.432432
100,PP,2,7,Arriba,PP-2-7,67.4,0.255,3783.382789
101,1SS,4,4,Abajo,1SS-4-4,131.6,0.5,3799.392097
102,1SS,4,5,Abajo,1SS-4-5,133.4,0.5,3748.125937
103,1SS,4,8,Arriba,1SS-4-8,128.5,0.5,3891.050584
104,1SS,4,9,Arriba,1SS-4-9,129.5,0.5,3861.003861
105,1SS,5,4,Abajo,1SS-5-4,123.4,0.5,4051.863857
106,1SS,5,5,Abajo,1SS-5-5,127.5,0.5,3921.568627
107,1SS,5,8,Arriba,1SS-5-8,127.5,0.5,3921.568627
108,1SS,5,9,Arriba,1SS-5-9,127.2,0.5,3930.81761
109,1SS,7,4,Abajo,1SS-7-4,130.3,0.498,3821.949348
110,1SS,7,5,Abajo,1SS-7-5,130.7,0.498,3810.252487
111,1SS,7,7,Arriba,1SS-7-7,132.4,0.498,3761.329305
